Year,Division,Position,Name
1930,Lightweights,3,Justo Suarez
1930,Lightweights,4,Louis (Kid) Kaplan
1930,Lightweights,5,Tony Herrera
1930,Lightweights,6,Wesley Ramey
1930,Lightweights,7,Sammy Dorfman
1930,Lightweights,8,Steve Halaiko
1930,Lightweights,9,Johnny Jadick
1930,Lightweights,10,Maxie Strub
1930,Junior Lightweights,1,Roger Bernard
1930,Junior Lightweights,2,Johnny Farr
1930,Junior Lightweights,3,Al Foreman
1930,Junior Lightweights,4,Lew Massey
1930,Junior Lightweights,5,Freddie Miller
1930,Junior Lightweights,6,Pete Nebo
1930,Junior Lightweights,7,Maurice Holtzer
1930,Junior Lightweights,8,Mike Dundee
1930,Junior Lightweights,9,Cecil Payne
1930,Junior Lightweights,10,Johnny Datto
1930,Featherweights,1,Eddie Shea
1930,Featherweights,2,Fidel LaBarba
1930,Featherweights,3,Kid Chocolate
1930,Featherweights,4,Earl Mastro
1930,Featherweights,5,Tommy Paul
1930,Featherweights,6,Jimmy Slavin
1930,Featherweights,7,Bud Taylor
1930,Featherweights,8,Bushy Graham
1930,Featherweights,9,Johnny Cuthbert
1930,Featherweights,10,Nel Tarleton
1930,Bantamweights,1,Panama Al Brown
1930,Bantamweights,2,Kid Francis
1930,Bantamweights,3,Joey Scalfaro
1930,Bantamweights,4,Archie Bell
1930,Bantamweights,5,Pete Sanstol
1930,Bantamweights,6,Vidal Gregorio
1930,Bantamweights,7,Newsboy Brown
1930,Bantamweights,8,Domenico Bernasconi
1930,Bantamweights,9,Dick Corbett
1930,Bantamweights,10,Harry Fierro
1930,Flyweights,1,Midget Wolgast
1930,Flyweights,2,Frankie (Kid) Anselm
1930,Flyweights,3,Phil Tobias
1930,Flyweights,4,Ruby Bradley
1930,Flyweights,5,Frankie Genaro
1930,Flyweights,6,Art Giroux
1930,Flyweights,7,Steve Rocco
1930,Flyweights,8,Marty Gold
1930,Flyweights,9,Happy Atherton
1930,Flyweights,10,Jackie Harmon
1931,Heavyweights,1,Jack Sharkey
1931,Heavyweights,2,Ernie Schaaf
1931,Heavyweights,3,Primo Carnera
1931,Heavyweights,4,King Levinsky
1931,Heavyweights,5,Mickey Walker
1931,Heavyweights,6,Tommy Loughran
1931,Heavyweights,7,Young Stribling
1931,Heavyweights,8,Stanley Poreda
1931,Heavyweights,9,Tuffy Griffiths
1931,Heavyweights,10,Max Baer
1931,Light Heavyweights,1,Billy Jones
1931,Light Heavyweights,2,Dave Maier
1931,Light Heavyweights,3,Lou Scozza
1931,Light Heavyweights,4,George Courtney
1931,Light Heavyweights,5,George Manley
1931,Light Heavyweights,6,Al Gainer
1931,Light Heavyweights,7,Bob Olin
1931,Light Heavyweights,8,Larry Johnson
1931,Light Heavyweights,9,Battling Bozo
1931,Light Heavyweights,10,Joe Knight
1931,Middleweights,1,Dave Shade
1931,Middleweights,2,Marcel Thil
1931,Middleweights,3,Vince Dundee
1931,Middleweights,4,Young Terry
1931,Middleweights,5,Ben Jeby
1931,Middleweights,6,Harry Smith
1931,Middleweights,7,Gorilla Jones
1931,Middleweights,8,Frank Battaglia
1931,Middleweights,9,Chick Devlin
1931,Middleweights,10,Paul Pirrone
1931,Welterweights,1,Baby Joe Gans
1931,Welterweights,2,Jimmy McLarnin
1931,Welterweights,3,Young Corbett III
1931,Welterweights,4,Jackie Fields
1931,Welterweights,5,King Tut
1931,Welterweights,6,Billy Townsend
1931,Welterweights,7,Franta Nekolny
1931,Welterweights,8,Paulie Walker
1931,Welterweights,9,Jimmy Belmont
1931,Welterweights,10,Teddy Yarosz
1931,Junior Welterweights,1,Billy Petrolle
1931,Junior Welterweights,2,Tony Herrera
1931,Junior Welterweights,3,Manuel Quintero
1931,Junior Welterweights,4,Jack Portney
1931,Junior Welterweights,5,Andy Callahan
1931,Junior Welterweights,6,Steve Halaiko
1931,Junior Welterweights,7,Pat Igo
1931,Junior Welterweights,8,Mickey Cohen
1931,Junior Welterweights,9,Eddie (Kid) Wolfe
1931,Junior Welterweights,10,Louis (Kid) Kaplan
1931,Lightweights,1,Battling Battalino
1931,Lightweights,2,Kid Chocolate
1931,Lightweights,3,Billy Petrolle
1931,Lightweights,4,Ray Miller
1931,Lightweights,5,Billy Wallace
1931,Lightweights,6,Battling Gizzy
1931,Lightweights,7,Sammy Dorfman
1931,Lightweights,8,Wesley Ramey
1931,Lightweights,9,Johnny Jadick
1931,Lightweights,10,Bobby Pacho
1931,Junior Lightweights,1,Benny Bass
1931,Junior Lightweights,2,Al Foreman
1931,Junior Lightweights,3,Roger Bernard
1931,Junior Lightweights,4,Freddie Miller
1931,Junior Lightweights,5,Andy Martin
1931,Junior Lightweights,6,Petey Sarron
1931,Junior Lightweights,7,Joey Costa
1931,Junior Lightweights,8,Joe Ghnouly
1931,Junior Lightweights,9,Lew Feldman
1931,Junior Lightweights,10,Ernie Mandell
1931,Featherweights,1,Earl Mastro
1931,Featherweights,2,Fidel LaBarba
1931,Featherweights,3,Kid Francis
1931,Featherweights,4,Eddie Shea
1931,Featherweights,5,Tommy Paul
1931,Featherweights,6,Claude Varner
1931,Featherweights,7,Nel Tarleton
1931,Featherweights,8,Johnny Pena
1931,Featherweights,9,Frankie Wallace
1931,Featherweights,10,Varias Milling
1931,Bantamweights,1,Newsboy Brown
1931,Bantamweights,2,Pete Sanstol
1931,Bantamweights,3,Eugene Huat
1931,Bantamweights,4,Antol Kocsis
1931,Bantamweights,5,Vidal Gregorio
1931,Bantamweights,6,Emile (Spider) Pladner
1931,Bantamweights,7,Mose Butch
1931,Bantamweights,8,Archie Bell
1931,Bantamweights,9,Ross Fields
1931,Bantamweights,10,Bobby Leitham
1931,Flyweights,1,Midget Wolgast
1931,Flyweights,2,Young Perez
1931,Flyweights,3,Jackie Brown
1931,Flyweights,4,Mariano Arilla
1931,Flyweights,5,Phil Tobias
1931,Flyweights,6,Speedy Dado
1931,Flyweights,7,Young Pancho
1931,Flyweights,8,Valentin Angelmann
1931,Flyweights,9,Babe Triscaro
1931,Flyweights,10,Johnny Goodrich
1932,Heavyweights,1,Max Schmeling
1932,Heavyweights,2,Max Baer
1932,Heavyweights,3,Stanley Poreda
1932,Heavyweights,4,Primo Carnera
1932,Heavyweights,5,Ernie Schaaf
1932,Heavyweights,6,Johnny Risko
1932,Heavyweights,7,King Levinsky
1932,Heavyweights,8,Walter Neusel
1932,Heavyweights,9,Larry Gains
1932,Heavyweights,10,Unknown Winston
1932,Light Heavyweights,1,Adolf Heuser
1932,Light Heavyweights,2,Joe Knight
1932,Light Heavyweights,3,Bob Godwin
1932,Light Heavyweights,4,John Henry Lewis
1932,Light Heavyweights,5,Al Gainer
1932,Light Heavyweights,6,Billy Jones
1932,Light Heavyweights,7,Norman Conrad
1932,Light Heavyweights,8,Lou Scozza
1932,Light Heavyweights,9,Wesley (Kayo) Ketchell
1932,Light Heavyweights,10,Ham Jenkins
1932,Middleweights,1,Frank Battaglia
1932,Middleweights,2,Vince Dundee
1932,Middleweights,3,Dave Shade
1932,Middleweights,4,Sammy (Kid) Slaughter
1932,Middleweights,5,Ben Jeby
1932,Middleweights,6,Gorilla Jones
1932,Middleweights,7,Chick Devlin
1932,Middleweights,8,Marty Sampson
1932,Middleweights,9,Jimmy Smith
1932,Middleweights,10,Enzo Fiermonte
1932,Welterweights,1,Jimmy McLarnin
1932,Welterweights,2,Young Corbett III
1932,Welterweights,3,Andy Callahan
1932,Welterweights,4,Johnny Indrisano
1932,Welterweights,5,Baby Joe Gans
1932,Welterweights,6,Teddy Yarosz
1932,Welterweights,7,Eddie (Kid) Wolfe
1932,Welterweights,8,Lou Brouillard
1932,Welterweights,9,Paulie Walker
1932,Welterweights,10,Bep van Klaveren
